nm     L7        L4     L5
410    0.000    0.0000  0.0000
411    0.000    0.0000  0.0000
412    0.000    0.0005  0.0000
413    0.000    0.0006  0.0000
414    0.000    0.0006  0.0000
415    0.000    0.0007  0.0000
416    0.000    0.0007  0.0000
417    0.000    0.0008  0.0000
418    0.000    0.0008  0.0000
419    0.000    0.0009  0.0000
420    0.000    0.0009  0.0007
421    0.000    0.0010  0.0008
422    0.000    0.0010  0.0008
423    0.000    0.0011  0.0009
424    0.000    0.0012  0.0009
425    0.000    0.0012  0.0010
426    0.000    0.0016  0.0013
427    0.000    0.0020  0.0016
428    0.000    0.0024  0.0020
429    0.000    0.0028  0.0023
430    0.000    0.0032  0.0027
431    0.000    0.0051  0.0042
432    0.000    0.0072  0.0060
433    0.000    0.0103  0.0086
434    0.000    0.0134  0.0113
435    0.016    0.0166  0.0141
436    0.027    0.0199  0.0170
437    0.048    0.0252  0.0216
438    0.094    0.0310  0.0268
439    0.167    0.0367  0.0321
440    0.287    0.0421  0.0370
441    0.459    0.0476  0.0420
442    0.605    0.0531  0.0471
443    0.728    0.0588  0.0524
444    0.769    0.0645  0.0577
445    0.792    0.0704  0.0633
446    0.821    0.0827  0.0746
447    0.857    0.1213  0.1097
448    0.857    0.1725  0.1564
449    0.862    0.2730  0.2483
450    0.839    0.3718  0.3391
451    0.845    0.4425  0.4058
452    0.810    0.5142  0.4741
453    0.802    0.5788  0.5366
454    0.804    0.6268  0.5856
455    0.779    0.7114  0.6667
456    0.798    0.7318  0.6880
457    0.816    0.7415  0.6993
458    0.876    0.7510  0.7095
459    0.888    0.7550  0.7165
460    0.901    0.7564  0.7200
461    0.918    0.7663  0.7326
462    0.896    0.7763  0.7475
463    0.903    0.7876  0.7583
464    0.888    0.7965  0.7714
465    0.890    0.8076  0.7847
466    0.863    0.8117  0.7924
467    0.860    0.8168  0.8002
468    0.842    0.8219  0.8080
469    0.866    0.8266  0.8156
470    0.875    0.8288  0.8206
471    0.881    0.8309  0.8257
472    0.888    0.8331  0.8308
473    0.898    0.8351  0.8359
474    0.879    0.8383  0.8421
475    0.884    0.8457  0.8526
476    0.907    0.8532  0.8642
477    0.928    0.8607  0.8724
478    0.932    0.8682  0.8824
479    0.955    0.8758  0.8925
480    0.958    0.8835  0.9026
481    0.948    0.8860  0.9069
482    0.952    0.8885  0.9111
483    0.956    0.8910  0.9154
484    0.980    0.8934  0.9196
485    0.980    0.8959  0.9238
486    0.975    0.8983  0.9285
487    0.973    0.9007  0.9332
488    0.977    0.9031  0.9379
489    0.958    0.9054  0.9425
490    0.965    0.9078  0.9472
491    0.957    0.9179  0.9548
492    0.952    0.9281  0.9623
493    0.973    0.9384  0.9698
494    0.974    0.9476  0.9761
495    0.995    0.9519  0.9775
496    0.986    0.9563  0.9788
497    0.986    0.9607  0.9802
498    0.994    0.9651  0.9815
499    1.000    0.9703  0.9837
500    0.990    0.9789  0.9891
501    0.990    0.9866  0.9935
502    0.976    0.9943  0.9978
503    0.983    1.0000  1.0000
504    0.976    0.9986  0.9952
505    0.983    0.9897  0.9828
506    0.960    0.9629  0.9524
507    0.973    0.9358  0.9219
508    0.964    0.9085  0.8914
509    0.975    0.8806  0.8607
510    0.960    0.8519  0.8293
511    0.932    0.8244  0.8021
512    0.853    0.8101  0.7877
513    0.684    0.7956  0.7732
514    0.486    0.7788  0.7565
515    0.293    0.7559  0.7339
516    0.150    0.7068  0.6859
517    0.073    0.5964  0.5784
518    0.036    0.4966  0.4813
519    0.019    0.4132  0.4002
520    0.009    0.3292  0.3187
521    0.000    0.2447  0.2367
522    0.000    0.1369  0.1324
523    0.000    0.1054  0.1018
524    0.000    0.0945  0.0911
525    0.000    0.0834  0.0804
526    0.000    0.0723  0.0696
527    0.000    0.0612  0.0588
528    0.000    0.0554  0.0532
529    0.000    0.0520  0.0498
530    0.000    0.0485  0.0465
531    0.000    0.0450  0.0431
532    0.000    0.0415  0.0397
533    0.000    0.0380  0.0364
534    0.000    0.0344  0.0330
535    0.000    0.0309  0.0296
536    0.000    0.0273  0.0261
537    0.000    0.0237  0.0227
538    0.000    0.0215  0.0205
539    0.000    0.0192  0.0184
540    0.000    0.0170  0.0162
541    0.000    0.0147  0.0140
542    0.000    0.0125  0.0119
543    0.000    0.0110  0.0105
544    0.000    0.0098  0.0093
545    0.000    0.0086  0.0081
546    0.000    0.0073  0.0069
547    0.000    0.0061  0.0058
548    0.000    0.0059  0.0056
549    0.000    0.0057  0.0054
550    0.000    0.0055  0.0052
