nm        L7              L4      L5
500     0.0006          0.0000  0.0000          
501     0.0009          0.0006  0.0007          
502     0.0010          0.0019  0.0021          
503     0.0020          0.0032  0.0036          
504     0.0020          0.0065  0.0032          
505     0.0030          0.0089  0.0065          
506     0.0050          0.0114  0.0089          
507     0.0090          0.0139  0.0139          
508     0.0145          0.0164  0.0164          
509     0.0236          0.0190  0.0190          
510     0.0260          0.0215  0.0233          
511     0.0410          0.0241  0.0261          
512     0.0600          0.0268  0.0290  
513     0.0880          0.0295  0.0318          
514     0.1260          0.0322  0.0347          
515     0.1740          0.0349  0.0377          
516     0.2360          0.0504  0.0544          
517     0.3080          0.0662  0.0713          
518     0.3880          0.0912  0.0982          
519     0.4720          0.1205  0.1297          
520     0.5520          0.1520  0.1635          
521     0.6210          0.1912  0.2055          
522     0.6760          0.2309  0.2479          
523     0.7160          0.2711  0.2908          
524     0.7430          0.3117  0.3341          
525     0.7590          0.3529  0.3779          
526     0.7690          0.3917  0.4190          
527     0.7790          0.4299  0.4593          
528     0.7900          0.4685  0.4999          
529     0.8050          0.5075  0.5409          
530     0.8220          0.5372  0.5718          
531     0.8420          0.5606  0.5967          
532     0.8610          0.5772  0.6142          
533     0.8780          0.5909  0.6286          
534     0.8930          0.6046  0.6431          
535     0.9050          0.6168  0.6578          
536     0.9160          0.6326  0.6722          
537     0.9240          0.6467  0.6868          
538     0.9330          0.6610  0.7015          
539     0.9420          0.6754  0.7163          
540     0.9470          0.6899  0.7312          
541     0.9510          0.7003  0.7416          
542     0.9530          0.7107  0.7520          
543     0.9520          0.7213  0.7625          
544     0.9510          0.7319  0.7730          
545     0.9520          0.7426  0.7836          
546     0.9510          0.7533  0.7941          
547     0.9510          0.7642  0.8047          
548     0.9520          0.7751  0.8153          
549     0.9520          0.7861  0.8260          
550     0.9530          0.7971  0.8367          
551     0.9510          0.8031  0.8425          
552     0.9500          0.8091  0.8483          
553     0.9500          0.8152  0.8541          
554     0.9510          0.8206  0.8594          
555     0.9540          0.8261  0.8646          
556     0.9600          0.8316  0.8695          
557     0.9660          0.8371  0.8743          
558     0.9680          0.8427  0.8792          
559     0.9650          0.8482  0.8841
560     0.9590          0.8538  0.8890
561     0.9510          0.8593  0.8937
562     0.9440          0.8650  0.8983
563     0.9370          0.8706  0.9029
564     0.9320          0.8731  0.9044
565     0.9330          0.8743  0.9044
566     0.9350          0.8754  0.9050
567     0.9370          0.8766  0.9056
568     0.9400          0.8777  0.9063
569     0.9450          0.8788  0.9068
570     0.9510          0.8799  0.9074
571     0.9550          0.8809  0.9073
572     0.9570          0.8820  0.9072
573     0.9560          0.8830  0.9070
574     0.9570          0.8840  0.9069
575     0.9550          0.8850  0.9067
576     0.9520          0.8860  0.9057
577     0.9540          0.8869  0.9047
578     0.9580          0.8914  0.9073
579     0.9630          0.8958  0.9098
580     0.9730          0.9002  0.9124
581     0.9810          0.9047  0.9155
582     0.9880          0.9092  0.9186
583     0.9950          0.9136  0.9218
584     1.0000          0.9323  0.9392
585     1.0000          0.9444  0.9500
586     0.9940          0.9536  0.9591
587     0.9830          0.9630  0.9683
588     0.9690          0.9715  0.9768
589     0.9540          0.9768  0.9819
590     0.9420          0.9820  0.9871
591     0.9360          0.9875  0.9913
592     0.9320          0.9941  0.9967
593     0.9280          0.9986  0.9999
594     0.9240          1.0000  1.0000
595     0.9120          0.9991  0.9978
596     0.8830          0.9984  0.9961
597     0.8340          0.9953  0.9920
598     0.7630          0.9799  0.9757
599     0.6740          0.9644  0.9592
600     0.5740          0.9488  0.9428
601     0.4730          0.9265  0.9199
602     0.3800          0.8941  0.8870
603     0.3000          0.8616  0.8540
604     0.2350          0.8288  0.8210
605     0.1850          0.7959  0.7878
606     0.1460          0.7466  0.7387
607     0.1170          0.6721  0.6647
608     0.0940          0.5970  0.5901
609     0.0770          0.5215  0.5153
610     0.0620          0.4674  0.4616
611     0.0520          0.4131  0.4083
612     0.0420          0.3586  0.3547
613     0.0330          0.3038  0.3007
614     0.0260          0.2487  0.2464
615     0.0210          0.2057  0.2039
616     0.0158          0.1810  0.1796
617     0.01235         0.1562  0.1552
618     0.0094          0.1313  0.1306
619     0.00717         0.1078  0.1072
620     0.0048          0.0973  0.0969
621     0.0037          0.0868  0.0865
622     0.0026          0.0763  0.0760
623     0.0017          0.0657  0.0655
624     0.0014          0.0550  0.0549
625     0.0000          0.0518  0.0517
626     0.0000          0.0486  0.0485
627     0.0000          0.0454  0.0454
628     0.0000          0.0422  0.0422
629     0.0000          0.0390  0.0389
630     0.0000          0.0357  0.0357
635     0.0000          0.0207  0.0207
640     0.0000          0.0114  0.0115
645     0.0000          0.0057  0.0058
650     0.0000          0.0000  0.0000
