nm       L7               L4      L5
2000    0               .0094   .0097
2001    0.003           .0099   .0102
2003    -0.002          .0109   .0112
2005    0.003           .0118   .0121
2007    -0.001          .0128   .0131
2009    0.000           .0138   .0141
2011    0.004           .0148   .0151
2013    -0.004          .0158   .016
2015    0.002           .0168   .017
2017    0.002           .0178   .018
2018    0.002           .0183   .0185
2020    0.012           .0193   .0194
2022    0.009           .0225   .0219
2024    0.007           .0258   .0244
2026    0.011           .029    .0269
2028    0.020           .0323   .0294
2030    0.017           .0356   .0319
2032    0.030           .0389   .0344
2034    0.035           .0423   .0367
2035    0.037           .0439   .0381
2037    0.044           .0473   .0407
2039    0.051           .0506   .0432
2041    0.065           .054    .0472
2043    0.080           .0574   .0527
2045    0.088           .0608   .0583
2047    0.102           .0642   .0638
2049    0.133           .0676   .0694
2051    0.165           .0723   .075
2052    0.188           .0753   .0778
2054    0.220           .0813   .0834
2056    0.264           .0874   .0891
2058    0.316           .0934   .0947
2060    0.367           .0995   .1004
2062    0.421           .1095   .1136
2064    0.484           .1196   .1267
2066    0.554           .1297   .14
2067    0.590           .1348   .1466
2069    0.670           .1449   .1599
2071    0.683           .16     .1732
2073    0.730           .1802   .1865
2075    0.756           .2004   .1998
2077    0.767           .2207   .2132
2079    0.794           .241    .2266
2081    0.774           .2654   .2486
2083    0.776           .294    .2794
2085    0.789           .3227   .3103
2086    0.775           .3371   .3258
2088    0.784           .3659   .3568
2090    0.778           .3947   .3878
2092    0.768           .4237   .419
2094    0.762           .4528   .4502
2096    0.761           .4819   .4814
2099    0.775           .5257   .5285
2100    0.775           .5404   .5442
2102    0.764           .571    .5744
2104    0.784           .6018   .6048
2106    0.792           .6327   .6353
2108    0.814           .6637   .6659
2110    0.794           .6948   .6967
2112    0.825           .7261   .7276
2114    0.817           .7576   .7587
2116    0.806           .7891   .7891
2117    0.819           .805    .8056
2119    0.821           .8368   .837
2121    0.852           .8641   .8578
2123    0.832           .8869   .8676
2125    0.836           .9098   .8774
2127    0.850           .9202   .8873
2129    0.855           .9307   .8971
2131    0.862           .9387   .907
2133    0.853           .9441   .917
2135    0.871           .9496   .9269
2136    0.848           .9498   .9319
2138    0.882           .9502   .9419
2140    0.875           .9506   .9519
2142    0.860           .95     .9518
2144    0.856           .9494   .9517
2146    0.887           .9464   .9515
2148    0.850           .9411   .9514
2150    0.872           .9357   .9512
2151    0.879           .9373   .9512
2153    0.857           .9405   .951
2155    0.865           .9437   .9509
2157    0.867           .9447   .9507
2159    0.871           .9458   .9505
2161    0.882           .9466   .9526
2163    0.870           .9473   .957
2165    0.869           .948    .9614
2166    0.873           .9507   .9636
2168    0.877           .9562   .968
2170    0.868           .9617   .9724
2172    0.880           .9675   .9769
2174    0.877           .9733   .9813
2176    0.870           .9792   .9857
2178    0.878           .985    .9902
2180    0.880           .9909   .9947
2182    0.868           .9964   .9952
2183    0.881           .9968   .9955
2185    0.870           .9975   .996
2187    0.856           .9982   .9966
2189    0.863           .9989   .9971
2191    0.863           .9996   .9976
2193    0.857           .9994   .9982
2195    0.844           .9983   .9987
2197    0.859           .9972   .9992
2199    0.857           .996    .9997
2201    0.852           .9952   .9996
2203    0.866           .9946   .9987
2205    0.868           .994    .9978
2207    0.856           .9934   .997
2209    0.856           .9928   .9961
2210    0.847           .9925   .9956
2212    0.861           .9919   .9948
2214    0.862           .9913   .9939
2216    0.840           .9907   .993
2218    0.856           .9901   .9921
2220    0.838           .9895   .9912
2222    0.856           .9886   .9857
2223    0.837           .9882   .9829
2226    0.842           .9811   .9746
2227    0.826           .9749   .9718
2229    0.844           .9625   .9663
2231    0.827           .9548   .9608
2233    0.842           .9519   .9552
2235    0.822           .949    .9497
2237    0.843           .946    .9442
2239    0.823           .9431   .9359
2241    0.854           .9397   .9357
2242    0.839           .9377   .9355
2244    0.853           .9339   .9352
2246    0.854           .93     .9348
2248    0.865           .9261   .9345
2250    0.873           .9223   .9342
2252    0.869           .9211   .9338
2254    0.865           .9198   .9335
2256    0.893           .9186   .9331
2258    0.890           .9174   .9328
2259    0.890           .9168   .9326
2261    0.906           .9153   .9302
2263    0.924           .9136   .9258
2265    0.920           .9119   .9213
2267    0.922           .9102   .9169
2269    0.939           .9077   .9125
2271    0.916           .9045   .9081
2273    0.940           .9012   .9037
